ID,Std-NIS,NIS,school,fullName,email,gender,grade,POB,birth,age,caturWulan,subjects,midTest,finalTest,mean,finalScore
17,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,2,Religion,81,67,74.0,B
18,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,3,Religion,77,79,78.0,B
19,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,1,Math,95,63,79.0,B
20,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,2,Math,77,98,87.5,A
21,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,3,Math,61,98,79.5,B
22,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,1,Science,81,55,68.0,C
23,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,2,Science,92,74,83.0,B
24,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,3,Science,91,89,90.0,A
25,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,1,Social,64,98,81.0,B
26,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,2,Social,89,84,86.5,A
27,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,3,Social,96,77,86.5,A
28,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,1,Bahasa,64,62,63.0,C
29,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,2,Bahasa,64,90,77.0,B
30,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,3,Bahasa,72,96,84.0,B
31,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,1,English,96,52,74.0,B
32,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,2,English,59,90,74.5,B
33,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,3,English,68,77,72.5,B
34,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,1,Religion,60,89,74.5,B
35,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,2,Religion,84,65,74.5,B
36,Std002-Coklat,Std002,SD Coklat,Indira Vivian Tambayong,i.tambayong@sekolah.edu.id,F,6,Surakarta,2011-04-07,12,3,Religion,96,97,96.5,A
37,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,1,Math,81,78,79.5,B
38,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,2,Math,56,92,74.0,B
39,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,3,Math,56,56,56.0,C
40,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,1,Science,60,72,66.0,C
41,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,2,Science,87,85,86.0,A
42,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,3,Science,90,93,91.5,A
43,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,1,Social,91,96,93.5,A
44,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,2,Social,73,100,86.5,A
45,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,3,Social,60,65,62.5,C
46,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,1,Bahasa,51,82,66.5,C
47,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,2,Bahasa,59,75,67.0,C
48,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,3,Bahasa,78,63,70.5,B
49,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,1,English,75,60,67.5,C
50,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,2,English,73,76,74.5,B
51,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,3,English,50,93,71.5,B
52,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,1,Religion,85,67,76.0,B
53,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,2,Religion,93,70,81.5,B
54,Std003-Coklat,Std003,SD Coklat,Ira Iqbal Wisesa,i.wisesa@sekolah.edu.id,F,6,Yogyakarta,2011-07-16,12,3,Religion,63,53,58.0,C
55,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,1,Math,50,74,62.0,C
56,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,2,Math,95,86,90.5,A
57,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,3,Math,66,58,62.0,C
58,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,1,Science,51,77,64.0,C
59,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,2,Science,71,74,72.5,B
60,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,3,Science,82,62,72.0,B
61,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,1,Social,65,54,59.5,C
62,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,2,Social,67,63,65.0,C
63,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,3,Social,88,58,73.0,B
64,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,1,Bahasa,50,72,61.0,C
65,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,2,Bahasa,82,50,66.0,C
66,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,3,Bahasa,96,80,88.0,A
67,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,1,English,89,61,75.0,B
68,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,2,English,86,100,93.0,A
69,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,3,English,98,71,84.5,A
70,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,1,Religion,58,86,72.0,B
71,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,2,Religion,81,75,78.0,B
72,Std004-Coklat,Std004,SD Coklat,Wa Ode Lucky Palaar,w.palaar@sekolah.edu.id,F,6,Banjar,2011-01-09,13,3,Religion,71,50,60.5,C
73,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,1,Math,59,99,79.0,B
74,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,2,Math,99,81,90.0,A
75,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,3,Math,85,52,68.5,C
76,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,1,Science,88,73,80.5,B
77,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,2,Science,96,78,87.0,A
78,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,3,Science,50,71,60.5,C
79,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,1,Social,90,86,88.0,A
80,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,2,Social,64,77,70.5,B
81,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,3,Social,86,90,88.0,A
82,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,1,Bahasa,77,98,87.5,A
83,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,2,Bahasa,78,76,77.0,B
84,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,3,Bahasa,79,69,74.0,B
85,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,1,English,63,53,58.0,C
86,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,2,English,100,51,75.5,B
87,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,3,English,61,97,79.0,B
88,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,1,Religion,56,60,58.0,C
89,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,2,Religion,62,68,65.0,C
90,Std005-Coklat,Std005,SD Coklat,Maxi Burhan Sigarlaki,m.sigarlaki@sekolah.edu.id,M,6,Tual,2011-05-05,12,3,Religion,56,75,65.5,C
91,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,1,Math,58,84,71.0,B
92,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,2,Math,69,75,72.0,B
93,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,3,Math,93,71,82.0,B
94,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,1,Science,71,59,65.0,C
95,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,2,Science,95,65,80.0,B
96,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,3,Science,86,65,75.5,B
97,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,1,Social,86,53,69.5,B
98,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,2,Social,61,71,66.0,C
99,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,3,Social,91,66,78.5,B
100,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,1,Bahasa,88,57,72.5,B
101,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,2,Bahasa,82,83,82.5,B
102,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,3,Bahasa,54,50,52.0,C
103,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,1,English,95,78,86.5,A
104,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,2,English,55,97,76.0,B
105,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,3,English,58,61,59.5,C
106,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,1,Religion,86,95,90.5,A
107,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,2,Religion,50,54,52.0,C
108,Std006-Coklat,Std006,SD Coklat,Dilan Carlos Manalu,d.manalu@sekolah.edu.id,M,6,Magelang,2011-08-26,12,3,Religion,91,51,71.0,B
109,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,1,Math,70,99,84.5,A
110,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,2,Math,80,60,70.0,B
111,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,3,Math,64,97,80.5,B
112,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,1,Science,65,69,67.0,C
113,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,2,Science,58,80,69.0,C
114,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,3,Science,94,60,77.0,B
115,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,1,Social,57,89,73.0,B
116,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,2,Social,51,70,60.5,C
117,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,3,Social,86,69,77.5,B
118,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,1,Bahasa,99,61,80.0,B
119,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,2,Bahasa,86,68,77.0,B
120,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,3,Bahasa,96,57,76.5,B
121,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,1,English,94,55,74.5,B
122,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,2,English,64,91,77.5,B
123,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,3,English,73,86,79.5,B
124,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,1,Religion,71,55,63.0,C
125,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,2,Religion,88,71,79.5,B
126,Std007-Coklat,Std007,SD Coklat,Michael Febrian Adnyana,m.adnyana@sekolah.edu.id,M,6,Subulussalam,2011-06-08,12,3,Religion,100,80,90.0,A
127,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,1,Math,61,95,78.0,B
128,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,2,Math,100,60,80.0,B
129,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,3,Math,100,71,85.5,A
130,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,1,Science,88,76,82.0,B
131,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,2,Science,58,80,69.0,C
132,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,3,Science,70,96,83.0,B
133,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,1,Social,90,62,76.0,B
134,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,2,Social,61,57,59.0,C
135,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,3,Social,99,62,80.5,B
136,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,1,Bahasa,97,87,92.0,A
137,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,2,Bahasa,89,77,83.0,B
138,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,3,Bahasa,74,97,85.5,A
139,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,1,English,74,92,83.0,B
140,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,2,English,86,85,85.5,A
141,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,3,English,81,59,70.0,B
142,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,1,Religion,51,85,68.0,C
143,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,2,Religion,90,100,95.0,A
144,Std008-Coklat,Std008,SD Coklat,Francis Yoan Junio,f.junio@sekolah.edu.id,M,6,Yogyakarta,2010-03-09,13,3,Religion,61,92,76.5,B
145,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,1,Math,74,95,84.5,A
146,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,2,Math,56,60,58.0,C
147,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,3,Math,83,66,74.5,B
148,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,1,Science,63,73,68.0,C
149,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,2,Science,67,51,59.0,C
150,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,3,Science,69,90,79.5,B
151,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,1,Social,63,56,59.5,C
152,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,2,Social,80,76,78.0,B
153,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,3,Social,94,52,73.0,B
154,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,1,Bahasa,89,86,87.5,A
155,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,2,Bahasa,67,63,65.0,C
156,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,3,Bahasa,81,97,89.0,A
157,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,1,English,74,75,74.5,B
158,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,2,English,50,70,60.0,C
159,Std009-Coklat,Std009,SD Coklat,Rudy Yobel Baihaqi,r.baihaqi@sekolah.edu.id,M,6,Gunungsitoli,2010-11-02,13,3,English,57,52,54.5,C
